Temperature (°C),Concentration of Dissolved Oxygen (mg/l)
4.7,12.1
9.4,10.6
21,8
4.6,11.6
3.7,11.6
21.2,7.6
9.1,10.3
17.2,8.7
21.2,8.1
4.3,11.2
9.5,10.5
2.5,12.8
5.1,11.1
21.8,8.2
29.3,4.9
19.6,7.2
14.3,8.1
25,7.1
5.6,11.4
15.1,8.6
13.8,9.2
11.5,9.5
2.1,12.1
20.6,6.6
28.7,5.9
3.9,11
12.6,10.1
27.7,6.5
10.3,9.4
28.9,6.5
15,9.3
7.3,11.2
2.7,11.9
28.6,6.5
21.5,6.3
25.3,5.6
18.5,8.7
30,4.8
15.5,7.8
17,8.2
3.8,10.6
22.8,7.1
20.5,6.6
14.1,9.8
27.3,6.2
1.2,12.4
23,7.8
18.2,7.5
6.7,11